feature,importance
delay_days,0.14686622240594305
delivery_days,0.13832151534637172
order_status_delivered,0.12346659941813368
is_late_False,0.09168673562558378
is_late_True,0.09112952816376768
order_item_count,0.048828821950747926
order_status_shipped,0.031289032061198846
carrier_handoff_days,0.029538101229802678
total_freight_value,0.02487776960607817
product_count,0.021117214925644286
estimated_delivery_days,0.017538222749424192
seller_count,0.016761184332785013
seller_state_Unknown,0.014962083320548637
avg_item_price,0.014160849102670538
order_status_canceled,0.013987392634050801
total_payment_value,0.013835143849430784
total_price,0.01335940659840394
order_status_unavailable,0.012142480247363394
freight_to_price_pct,0.011793537484948659
product_category_name_Unknown,0.011772078674278465
product_volume_cm3,0.011270395099925518
product_description_length,0.010725501622220293
product_weight_g,0.010119295436232342
order_status_processing,0.009805807599972662
order_status_invoiced,0.008517694788164732
month,0.008374587520759653
approval_hours,0.00755348957250212
product_name_length,0.006867298146244876
max_payment_installments,0.004052720328519825
product_photos_qty,0.0037258417414928876
customer_state_RJ,0.003417831797386827
customer_state_SP,0.0030265500031900127
year,0.0020942963551879496
seller_state_SP,0.001847765449792581
product_category_name_bed_bath_table,0.0012809063612154658
product_category_name_office_furniture,0.001013049836248412
payment_type_credit_card,0.0009441250553042433
product_category_name_computers_accessories,0.0009189656031908138
payment_type_boleto,0.000775536634907514
product_category_name_garden_tools,0.0007363652595474263
customer_state_MG,0.0007267094274378944
seller_state_MG,0.0007023780425808117
product_category_name_watches_gifts,0.0006618141686433749
product_category_name_stationery,0.0006383553545728363
product_category_name_health_beauty,0.0006053697407136625
seller_state_PR,0.0005996158307468042
seller_state_RS,0.000545810481130358
product_category_name_furniture_decor,0.000537226084877095
customer_state_RS,0.0005291971339837944
product_category_name_baby,0.0005181825808073531
product_category_name_telephony,0.0004939328827085713
product_category_name_sports_leisure,0.0004687423036928828
product_category_name_perfumery,0.0004484118911683617
customer_state_BA,0.0004272711611433273
customer_state_PR,0.0003927940938796621
product_category_name_housewares,0.00038957854786744793
product_category_name_toys,0.0003762746008472503
seller_state_RJ,0.00033623356920224005
seller_state_SC,0.0003025179816565223
product_category_name_auto,0.0002851140998288259
product_category_name_fashion_bags_accessories,0.00026387640306469275
product_category_name_audio,0.00025495978814892635
product_category_name_cool_stuff,0.00025385765337227855
product_category_name_luggage_accessories,0.00024989697556343965
seller_state_DF,0.00024747160990822665
payment_type_voucher,0.00023910154732060602
product_category_name_pet_shop,0.00023666797512763272
customer_state_SC,0.0002197937125219532
product_category_name_books_general_interest,0.00020789957533479307
product_category_name_electronics,0.00018422290654825758
customer_state_PE,0.00017582769918581407
customer_state_CE,0.0001724837019081887
product_category_name_home_appliances,0.00015113583760051466
product_category_name_construction_tools_construction,0.00014950199102417574
product_category_name_small_appliances,0.00014064660231241313
customer_state_ES,0.00014047328949881024
product_category_name_home_confort,0.0001341675209935508
customer_state_MT,0.00013030826427822654
customer_state_DF,0.00012039348736982886
customer_state_PA,0.00011888264594702759
product_category_name_musical_instruments,0.00011500234130815971
payment_type_debit_card,0.00011470859260075074
product_category_name_consoles_games,0.00010736275449958742
customer_state_GO,0.00010582472909061737
customer_state_MS,0.00010336524673027759
product_category_name_home_construction,7.944025501404718e-05
seller_state_MA,7.927251730277634e-05
customer_state_PB,6.981911558750952e-05
customer_state_AM,6.252641511215415e-05
product_category_name_food_drink,6.249151404095994e-05
customer_state_RN,5.479877466438105e-05
customer_state_PI,5.288236801470187e-05
customer_state_MA,5.0477660934319215e-05
customer_state_AL,4.834662273364378e-05
seller_state_BA,4.603553044368349e-05
seller_state_ES,4.5401359777542496e-05
seller_state_GO,4.3762102234464444e-05
product_category_name_furniture_living_room,4.060742946805203e-05
customer_state_SE,4.038635970334986e-05
product_category_name_art,3.184140742065613e-05
customer_state_RO,3.004043430710976e-05
seller_state_PE,2.7353025126357e-05
customer_state_TO,2.2281843416731572e-05
product_category_name_drinks,2.1192855663676876e-05
product_category_name_air_conditioning,2.054563219509747e-05
customer_state_AP,2.0063436316695434e-05
product_category_name_fashion_male_clothing,1.779441290148357e-05
product_category_name_construction_tools_lights,1.7686236151846653e-05
product_category_name_food,1.7361641498158395e-05
product_category_name_home_appliances_2,1.6042256718495596e-05
product_category_name_computers,1.5960490841570337e-05
product_category_name_kitchen_dining_laundry_garden_furniture,1.5657329308703197e-05
product_category_name_industry_commerce_and_business,1.4135360905717959e-05
product_category_name_fixed_telephony,1.2087421509301124e-05
product_category_name_market_place,1.1912706319725984e-05
product_category_name_books_technical,1.0072319543841062e-05
product_category_name_fashion_underwear_beach,9.061059611956298e-06
seller_state_MT,8.688579754880173e-06
product_category_name_construction_tools_safety,7.86795393323845e-06
product_category_name_costruction_tools_garden,6.514850533993986e-06
product_category_name_fashion_shoes,5.459008898650153e-06
product_category_name_christmas_supplies,4.5095196686258536e-06
product_category_name_agro_industry_and_commerce,3.894723993047549e-06
seller_state_PB,3.867729822247538e-06
product_category_name_small_appliances_home_oven_and_coffee,3.3387557766638813e-06
customer_state_RR,3.14305756546393e-06
seller_state_CE,2.7375446309941756e-06
product_category_name_furniture_bedroom,2.424361133468851e-06
seller_state_MS,2.4191676640967355e-06
product_category_name_fashio_female_clothing,2.300088455656779e-06
product_category_name_signaling_and_security,2.104934215711754e-06
product_category_name_infrequent_sklearn,1.8522816280518633e-06
product_category_name_books_imported,1.594437800888109e-06
product_category_name_dvds_blu_ray,1.0530127261788657e-06
product_category_name_party_supplies,1.0485178679882362e-06
product_category_name_costruction_tools_tools,7.798465574890717e-07
product_category_name_cine_photo,7.633908530731105e-07
seller_state_RN,5.539630988748112e-07
customer_state_AC,4.3961070183920414e-07
product_category_name_diapers_and_hygiene,0.0
order_status_infrequent_sklearn,0.0
payment_type_infrequent_sklearn,0.0
product_category_name_furniture_mattress_and_upholstery,0.0
product_category_name_tablets_printing_image,0.0
product_category_name_music,0.0
seller_state_infrequent_sklearn,0.0
